Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-APK-0003,Business,Business,Team Operations,Payroll,Expense,2026-02-28,00:36:32,2026-02-28 00:36:32,150101.63,INR,-150101.63,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0003,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
6,MTR-APK-0006,Business,Business,Team Operations,Contractor,Expense,2025-12-11,17:06:03,2025-12-11 17:06:03,179977.7,INR,-179977.7,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 179977.70,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0006,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 179977.70,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
9,MTR-APK-0009,Business,Business,Team Operations,Hiring,Expense,2025-12-10,13:41:38,2025-12-10 13:41:38,6140.41,INR,-6140.41,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 6140.41,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0009,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 6140.41,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
12,MTR-APK-0012,Business,Business,Team Operations,Team Meal,Expense,2026-02-07,08:47:46,2026-02-07 08:47:46,57087.93,INR,-57087.93,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 57087.93,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0012,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 57087.93,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
15,MTR-APK-0015,Business,Business,Team Operations,Travel,Expense,2026-06-22,05:54:54,2026-06-22 05:54:54,31854.41,INR,-31854.41,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 31854.41,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0015,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 31854.41,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
18,MTR-APK-0018,Business,Business,Team Operations,Training,Expense,2025-09-20,14:39:54,2025-09-20 14:39:54,160903.22,INR,-160903.22,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0018 | Training | 160903.22,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0018,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0018 | Training | 160903.22,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
21,MTR-APK-0021,Business,Business,Team Operations,Tools,Expense,2026-01-08,20:54:57,2026-01-08 20:54:57,102478.06,INR,-102478.06,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 102478.06,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0021,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 102478.06,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
24,MTR-APK-0024,Business,Business,Business Runway,Funding,Income,2025-11-06,15:46:33,2025-11-06 15:46:33,23613.48,INR,23613.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 23613.48,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0024,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 23613.48,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
27,MTR-APK-0027,Business,Business,Business Runway,Revenue,Income,2026-05-25,13:21:34,2026-05-25 13:21:34,109992.93,INR,109992.93,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 109992.93,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0027,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 109992.93,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
30,MTR-APK-0030,Business,Business,Business Runway,Burn,Expense,2026-07-12,00:27:21,2026-07-12 00:27:21,140589.77,INR,-140589.77,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 140589.77,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0030,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 140589.77,JOINED,Runway Log Expense
33,MTR-APK-0033,Business,Business,Business Runway,Reserve,Transfer,2026-08-22,00:20:13,2026-08-22 00:20:13,74089.67,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 74089.67,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0033,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 74089.67,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
