Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-APK-0002,Group,Shared Experience,Trip,Travel,Expense,2026-06-16,03:13:25,2026-06-16 03:13:25,24638.31,INR,-24638.31,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0002,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
5,MTR-APK-0005,Group,Shared Experience,Trip,Stay,Expense,2026-04-21,11:22:22,2026-04-21 11:22:22,13742.5,INR,-13742.5,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0005 | Stay | 13742.50,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0005,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Stay,MAESTRO-APK-GROUP-TRIP-0005 | Stay | 13742.50,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
8,MTR-APK-0008,Group,Shared Experience,Trip,Food,Expense,2025-10-25,02:21:40,2025-10-25 02:21:40,5194.86,INR,-5194.86,APK Meera,3,EXACT,MAESTRO-APK-GROUP-TRIP-0008 | Food | 5194.86,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0008,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-APK-GROUP-TRIP-0008 | Food | 5194.86,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
11,MTR-APK-0011,Group,Shared Experience,Trip,Local Transport,Expense,2026-08-08,08:11:52,2026-08-08 08:11:52,19092.57,INR,-19092.57,APK Owner,3,SHARES,MAESTRO-APK-GROUP-TRIP-0011 | Local Transport | 19092.57,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0011,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Local Transport,MAESTRO-APK-GROUP-TRIP-0011 | Local Transport | 19092.57,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
14,MTR-APK-0014,Group,Shared Experience,Trip,Activities,Expense,2025-09-17,17:58:04,2025-09-17 17:58:04,10894.14,INR,-10894.14,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0014 | Activities | 10894.14,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0014,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-APK-GROUP-TRIP-0014 | Activities | 10894.14,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
17,MTR-APK-0017,Group,Shared Experience,Trip,Shopping,Expense,2025-12-18,06:34:31,2025-12-18 06:34:31,20495.39,INR,-20495.39,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0017 | Shopping | 20495.39,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0017,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shopping,MAESTRO-APK-GROUP-TRIP-0017 | Shopping | 20495.39,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
20,MTR-APK-0020,Group,Shared Experience,Trip,Other,Expense,2026-06-20,19:09:01,2026-06-20 19:09:01,6176.0,INR,-6176.0,APK Owner,3,EXACT,MAESTRO-APK-GROUP-TRIP-0020 | Other | 6176.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0020,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-APK-GROUP-TRIP-0020 | Other | 6176.00,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
23,MTR-APK-0023,Group,Shared Experience,Wedding,Venue,Expense,2026-01-26,16:24:14,2026-01-26 16:24:14,5009.34,INR,-5009.34,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0023 | Venue | 5009.34,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0023,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Venue,MAESTRO-APK-GROUP-WEDDING-0023 | Venue | 5009.34,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
26,MTR-APK-0026,Group,Shared Experience,Wedding,Catering,Expense,2025-10-06,09:51:58,2025-10-06 09:51:58,9013.12,INR,-9013.12,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0026 | Catering | 9013.12,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0026,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Catering,MAESTRO-APK-GROUP-WEDDING-0026 | Catering | 9013.12,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
29,MTR-APK-0029,Group,Shared Experience,Wedding,Decor,Expense,2026-02-08,17:00:05,2026-02-08 17:00:05,29739.05,INR,-29739.05,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0029 | Decor | 29739.05,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0029,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-APK-GROUP-WEDDING-0029 | Decor | 29739.05,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
32,MTR-APK-0032,Group,Shared Experience,Wedding,Travel,Expense,2026-05-07,14:25:02,2026-05-07 14:25:02,17383.47,INR,-17383.47,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-WEDDING-0032 | Travel | 17383.47,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0032,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-APK-GROUP-WEDDING-0032 | Travel | 17383.47,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
