Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001
2,MTR-APK-0002,Group,Shared Experience,Trip,Travel,Expense,2026-06-16,03:13:25,2026-06-16 03:13:25,24638.31,INR,-24638.31,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0002
3,MTR-APK-0003,Business,Business,Team Operations,Payroll,Expense,2026-02-28,00:36:32,2026-02-28 00:36:32,150101.63,INR,-150101.63,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0003
4,MTR-APK-0004,Personal,Personal,Life Operations,Rent,Expense,2026-04-18,17:12:44,2026-04-18 17:12:44,12411.67,INR,-12411.67,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 12411.67,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0004
5,MTR-APK-0005,Group,Shared Experience,Trip,Stay,Expense,2026-04-21,11:22:22,2026-04-21 11:22:22,13742.5,INR,-13742.5,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0005 | Stay | 13742.50,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0005
6,MTR-APK-0006,Business,Business,Team Operations,Contractor,Expense,2025-12-11,17:06:03,2025-12-11 17:06:03,179977.7,INR,-179977.7,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 179977.70,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0006
7,MTR-APK-0007,Personal,Personal,Life Operations,Bills,Expense,2026-08-28,21:09:06,2026-08-28 21:09:06,12642.87,INR,-12642.87,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 12642.87,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0007
8,MTR-APK-0008,Group,Shared Experience,Trip,Food,Expense,2025-10-25,02:21:40,2025-10-25 02:21:40,5194.86,INR,-5194.86,APK Meera,3,EXACT,MAESTRO-APK-GROUP-TRIP-0008 | Food | 5194.86,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0008
9,MTR-APK-0009,Business,Business,Team Operations,Hiring,Expense,2025-12-10,13:41:38,2025-12-10 13:41:38,6140.41,INR,-6140.41,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 6140.41,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0009
10,MTR-APK-0010,Personal,Personal,Life Operations,Transport,Expense,2026-03-13,17:19:18,2026-03-13 17:19:18,6869.11,INR,-6869.11,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 6869.11,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0010
11,MTR-APK-0011,Group,Shared Experience,Trip,Local Transport,Expense,2026-08-08,08:11:52,2026-08-08 08:11:52,19092.57,INR,-19092.57,APK Owner,3,SHARES,MAESTRO-APK-GROUP-TRIP-0011 | Local Transport | 19092.57,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0011
12,MTR-APK-0012,Business,Business,Team Operations,Team Meal,Expense,2026-02-07,08:47:46,2026-02-07 08:47:46,57087.93,INR,-57087.93,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 57087.93,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0012
13,MTR-APK-0013,Personal,Personal,Life Operations,Healthcare,Expense,2026-04-04,03:40:19,2026-04-04 03:40:19,6325.64,INR,-6325.64,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 6325.64,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0013
14,MTR-APK-0014,Group,Shared Experience,Trip,Activities,Expense,2025-09-17,17:58:04,2025-09-17 17:58:04,10894.14,INR,-10894.14,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0014 | Activities | 10894.14,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0014
15,MTR-APK-0015,Business,Business,Team Operations,Travel,Expense,2026-06-22,05:54:54,2026-06-22 05:54:54,31854.41,INR,-31854.41,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 31854.41,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0015
16,MTR-APK-0016,Personal,Personal,Life Operations,Subscriptions,Expense,2026-03-21,10:49:28,2026-03-21 10:49:28,12497.6,INR,-12497.6,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12497.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0016
