Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
4,MTR-APK-0004,Personal,Personal,Life Operations,Rent,Expense,2026-04-18,17:12:44,2026-04-18 17:12:44,12411.67,INR,-12411.67,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 12411.67,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0004,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 12411.67,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
7,MTR-APK-0007,Personal,Personal,Life Operations,Bills,Expense,2026-08-28,21:09:06,2026-08-28 21:09:06,12642.87,INR,-12642.87,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 12642.87,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0007,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 12642.87,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
10,MTR-APK-0010,Personal,Personal,Life Operations,Transport,Expense,2026-03-13,17:19:18,2026-03-13 17:19:18,6869.11,INR,-6869.11,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 6869.11,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0010,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 6869.11,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
13,MTR-APK-0013,Personal,Personal,Life Operations,Healthcare,Expense,2026-04-04,03:40:19,2026-04-04 03:40:19,6325.64,INR,-6325.64,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 6325.64,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0013,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 6325.64,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
16,MTR-APK-0016,Personal,Personal,Life Operations,Subscriptions,Expense,2026-03-21,10:49:28,2026-03-21 10:49:28,12497.6,INR,-12497.6,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12497.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0016,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Subscriptions,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12497.60,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
19,MTR-APK-0019,Personal,Personal,Life Operations,Repairs,Expense,2025-11-23,22:11:09,2025-11-23 22:11:09,4331.15,INR,-4331.15,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 4331.15,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0019,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Repairs,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 4331.15,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
22,MTR-APK-0022,Personal,Personal,Future Building,Savings,Transfer,2025-11-26,05:57:32,2025-11-26 05:57:32,13050.07,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0022 | Savings | 13050.07,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0022,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Savings,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0022 | Savings | 13050.07,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
25,MTR-APK-0025,Personal,Personal,Future Building,Emergency Fund,Transfer,2026-08-01,08:02:16,2026-08-01 08:02:16,1624.6,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 1624.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0025,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Emergency Fund,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 1624.60,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
28,MTR-APK-0028,Personal,Personal,Future Building,Investments,Investment,2026-05-17,16:50:35,2026-05-17 16:50:35,11208.9,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0028 | Investments | 11208.90,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0028,android,P2,FUTURE_GOAL,Opportunity,P2:Opportunity,ACTIVE,qa.tile.opportunity,,,,,Investments,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0028 | Investments | 11208.90,JOINED_REVIEW,Future Investments → Opportunity proxy — REVIEW
31,MTR-APK-0031,Personal,Personal,Future Building,Education,Expense,2025-09-01,20:51:38,2025-09-01 20:51:38,4377.59,INR,-4377.59,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0031 | Education | 4377.59,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0031,android,P2,FUTURE_GOAL,Milestone,P2:Milestone,ACTIVE,qa.tile.milestone,personal.income.amount,personal.income.note,personal.income.submit,,Education,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0031 | Education | 4377.59,JOINED_REVIEW,No Expense hub on P2; Education expenses use Milestone as ACTIVE proxy until money tile restored — REVIEW
