Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-IOS-0003,Business,Business,Team Operations,Payroll,Expense,2026-04-19,12:08:42,2026-04-19 12:08:42,57453.63,INR,-57453.63,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0003,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
6,MTR-IOS-0006,Business,Business,Team Operations,Contractor,Expense,2025-09-13,09:54:55,2025-09-13 09:54:55,109737.08,INR,-109737.08,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 109737.08,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0006,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 109737.08,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
9,MTR-IOS-0009,Business,Business,Team Operations,Hiring,Expense,2025-11-29,08:26:29,2025-11-29 08:26:29,142974.65,INR,-142974.65,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 142974.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0009,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 142974.65,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
12,MTR-IOS-0012,Business,Business,Team Operations,Team Meal,Expense,2025-11-11,17:19:55,2025-11-11 17:19:55,153816.21,INR,-153816.21,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 153816.21,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0012,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 153816.21,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
15,MTR-IOS-0015,Business,Business,Team Operations,Travel,Expense,2026-04-03,04:52:28,2026-04-03 04:52:28,126238.94,INR,-126238.94,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 126238.94,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0015,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 126238.94,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
18,MTR-IOS-0018,Business,Business,Team Operations,Training,Expense,2025-12-06,21:22:54,2025-12-06 21:22:54,77896.48,INR,-77896.48,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0018 | Training | 77896.48,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0018,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0018 | Training | 77896.48,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
21,MTR-IOS-0021,Business,Business,Team Operations,Tools,Expense,2026-08-30,21:03:27,2026-08-30 21:03:27,135446.27,INR,-135446.27,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 135446.27,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0021,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 135446.27,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
24,MTR-IOS-0024,Business,Business,Business Runway,Funding,Income,2025-12-22,12:33:06,2025-12-22 12:33:06,121141.46,INR,121141.46,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 121141.46,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0024,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 121141.46,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
27,MTR-IOS-0027,Business,Business,Business Runway,Revenue,Income,2025-12-03,06:00:42,2025-12-03 06:00:42,144069.9,INR,144069.9,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 144069.90,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0027,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 144069.90,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
30,MTR-IOS-0030,Business,Business,Business Runway,Burn,Expense,2026-05-28,08:13:09,2026-05-28 08:13:09,142385.1,INR,-142385.1,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 142385.10,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0030,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 142385.10,JOINED,Runway Log Expense
33,MTR-IOS-0033,Business,Business,Business Runway,Reserve,Transfer,2026-02-26,12:20:25,2026-02-26 12:20:25,827.54,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 827.54,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0033,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 827.54,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
36,MTR-IOS-0036,Business,Business,Business Runway,Loan,Income,2026-03-06,23:55:25,2026-03-06 23:55:25,122441.2,INR,122441.2,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 122441.20,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0036,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 122441.20,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
39,MTR-IOS-0039,Business,Business,Business Runway,Investment,Income,2026-07-28,16:32:18,2026-07-28 16:32:18,161177.11,INR,161177.11,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 161177.11,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0039,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 161177.11,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
42,MTR-IOS-0042,Business,Business,Business Operations,Software,Expense,2026-04-15,13:34:21,2026-04-15 13:34:21,31212.26,INR,-31212.26,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 31212.26,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0042,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 31212.26,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
