Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-IOS-0002,Group,Shared Experience,Trip,Travel,Expense,2026-01-01,17:33:29,2026-01-01 17:33:29,26868.32,INR,-26868.32,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0002,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
5,MTR-IOS-0005,Group,Shared Experience,Trip,Stay,Expense,2026-07-28,08:16:22,2026-07-28 08:16:22,18351.21,INR,-18351.21,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-0005 | Stay | 18351.21,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0005,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Stay,MAESTRO-IOS-GROUP-TRIP-0005 | Stay | 18351.21,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
8,MTR-IOS-0008,Group,Shared Experience,Trip,Food,Expense,2025-11-02,09:34:17,2025-11-02 09:34:17,25422.15,INR,-25422.15,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0008 | Food | 25422.15,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0008,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-IOS-GROUP-TRIP-0008 | Food | 25422.15,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
11,MTR-IOS-0011,Group,Shared Experience,Trip,Local Transport,Expense,2026-06-20,01:17:01,2026-06-20 01:17:01,20814.45,INR,-20814.45,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-TRIP-0011 | Local Transport | 20814.45,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0011,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Local Transport,MAESTRO-IOS-GROUP-TRIP-0011 | Local Transport | 20814.45,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
14,MTR-IOS-0014,Group,Shared Experience,Trip,Activities,Expense,2026-06-03,00:50:46,2026-06-03 00:50:46,8585.78,INR,-8585.78,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0014 | Activities | 8585.78,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0014,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-IOS-GROUP-TRIP-0014 | Activities | 8585.78,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
17,MTR-IOS-0017,Group,Shared Experience,Trip,Shopping,Expense,2026-07-13,17:19:07,2026-07-13 17:19:07,14891.49,INR,-14891.49,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-0017 | Shopping | 14891.49,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0017,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shopping,MAESTRO-IOS-GROUP-TRIP-0017 | Shopping | 14891.49,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
20,MTR-IOS-0020,Group,Shared Experience,Trip,Other,Expense,2026-07-10,02:41:12,2026-07-10 02:41:12,16125.67,INR,-16125.67,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0020 | Other | 16125.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0020,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-IOS-GROUP-TRIP-0020 | Other | 16125.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
23,MTR-IOS-0023,Group,Shared Experience,Wedding,Venue,Expense,2026-06-01,20:52:46,2026-06-01 20:52:46,24925.16,INR,-24925.16,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0023 | Venue | 24925.16,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0023,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Venue,MAESTRO-IOS-GROUP-WEDDING-0023 | Venue | 24925.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
26,MTR-IOS-0026,Group,Shared Experience,Wedding,Catering,Expense,2026-06-13,12:22:45,2026-06-13 12:22:45,19704.71,INR,-19704.71,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0026 | Catering | 19704.71,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0026,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Catering,MAESTRO-IOS-GROUP-WEDDING-0026 | Catering | 19704.71,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
29,MTR-IOS-0029,Group,Shared Experience,Wedding,Decor,Expense,2026-04-01,16:03:33,2026-04-01 16:03:33,15620.75,INR,-15620.75,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0029 | Decor | 15620.75,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0029,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-IOS-GROUP-WEDDING-0029 | Decor | 15620.75,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
32,MTR-IOS-0032,Group,Shared Experience,Wedding,Travel,Expense,2025-12-08,02:39:00,2025-12-08 02:39:00,16472.62,INR,-16472.62,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-WEDDING-0032 | Travel | 16472.62,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0032,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-IOS-GROUP-WEDDING-0032 | Travel | 16472.62,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
