Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-IOS-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-01-20,05:40:34,2026-01-20 05:40:34,14066.5,INR,-14066.5,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0001,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
4,MTR-IOS-0004,Personal,Personal,Life Operations,Rent,Expense,2026-05-25,04:30:57,2026-05-25 04:30:57,2414.9,INR,-2414.9,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 2414.90,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0004,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 2414.90,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
7,MTR-IOS-0007,Personal,Personal,Life Operations,Bills,Expense,2026-01-22,02:25:22,2026-01-22 02:25:22,7285.65,INR,-7285.65,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 7285.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0007,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 7285.65,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
10,MTR-IOS-0010,Personal,Personal,Life Operations,Transport,Expense,2025-11-14,21:54:54,2025-11-14 21:54:54,13838.38,INR,-13838.38,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 13838.38,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0010,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 13838.38,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
13,MTR-IOS-0013,Personal,Personal,Life Operations,Healthcare,Expense,2025-11-09,08:56:35,2025-11-09 08:56:35,12883.33,INR,-12883.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 12883.33,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0013,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 12883.33,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
16,MTR-IOS-0016,Personal,Personal,Life Operations,Subscriptions,Expense,2025-12-19,15:44:33,2025-12-19 15:44:33,12564.33,INR,-12564.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12564.33,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0016,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Subscriptions,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12564.33,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
19,MTR-IOS-0019,Personal,Personal,Life Operations,Repairs,Expense,2026-01-04,12:54:47,2026-01-04 12:54:47,17848.59,INR,-17848.59,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 17848.59,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0019,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Repairs,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 17848.59,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
22,MTR-IOS-0022,Personal,Personal,Future Building,Savings,Transfer,2026-08-18,12:31:57,2026-08-18 12:31:57,16827.67,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0022 | Savings | 16827.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0022,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Savings,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0022 | Savings | 16827.67,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
25,MTR-IOS-0025,Personal,Personal,Future Building,Emergency Fund,Transfer,2025-11-21,03:01:08,2025-11-21 03:01:08,4005.71,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 4005.71,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0025,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Emergency Fund,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 4005.71,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
28,MTR-IOS-0028,Personal,Personal,Future Building,Investments,Investment,2025-10-04,22:40:03,2025-10-04 22:40:03,4161.04,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0028 | Investments | 4161.04,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0028,ios,P2,FUTURE_GOAL,Opportunity,P2:Opportunity,ACTIVE,qa.tile.opportunity,,,,,Investments,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0028 | Investments | 4161.04,JOINED_REVIEW,Future Investments → Opportunity proxy — REVIEW
31,MTR-IOS-0031,Personal,Personal,Future Building,Education,Expense,2025-10-01,22:40:13,2025-10-01 22:40:13,6294.62,INR,-6294.62,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0031 | Education | 6294.62,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0031,ios,P2,FUTURE_GOAL,Milestone,P2:Milestone,ACTIVE,qa.tile.milestone,personal.income.amount,personal.income.note,personal.income.submit,,Education,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0031 | Education | 6294.62,JOINED_REVIEW,No Expense hub on P2; Education expenses use Milestone as ACTIVE proxy until money tile restored — REVIEW
