Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
2,MTR-APK-0002,Group,Shared Experience,Trip,Travel,Expense,2026-06-16,03:13:25,2026-06-16 03:13:25,24638.31,INR,-24638.31,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0002,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
3,MTR-APK-0003,Business,Business,Team Operations,Payroll,Expense,2026-02-28,00:36:32,2026-02-28 00:36:32,150101.63,INR,-150101.63,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0003,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
4,MTR-APK-0004,Personal,Personal,Life Operations,Rent,Expense,2026-04-18,17:12:44,2026-04-18 17:12:44,12411.67,INR,-12411.67,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 12411.67,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0004,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 12411.67,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
5,MTR-APK-0005,Group,Shared Experience,Trip,Stay,Expense,2026-04-21,11:22:22,2026-04-21 11:22:22,13742.5,INR,-13742.5,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0005 | Stay | 13742.50,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0005,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Stay,MAESTRO-APK-GROUP-TRIP-0005 | Stay | 13742.50,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
6,MTR-APK-0006,Business,Business,Team Operations,Contractor,Expense,2025-12-11,17:06:03,2025-12-11 17:06:03,179977.7,INR,-179977.7,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 179977.70,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0006,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 179977.70,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
7,MTR-APK-0007,Personal,Personal,Life Operations,Bills,Expense,2026-08-28,21:09:06,2026-08-28 21:09:06,12642.87,INR,-12642.87,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 12642.87,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0007,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 12642.87,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
8,MTR-APK-0008,Group,Shared Experience,Trip,Food,Expense,2025-10-25,02:21:40,2025-10-25 02:21:40,5194.86,INR,-5194.86,APK Meera,3,EXACT,MAESTRO-APK-GROUP-TRIP-0008 | Food | 5194.86,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0008,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-APK-GROUP-TRIP-0008 | Food | 5194.86,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
9,MTR-APK-0009,Business,Business,Team Operations,Hiring,Expense,2025-12-10,13:41:38,2025-12-10 13:41:38,6140.41,INR,-6140.41,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 6140.41,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0009,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 6140.41,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
10,MTR-APK-0010,Personal,Personal,Life Operations,Transport,Expense,2026-03-13,17:19:18,2026-03-13 17:19:18,6869.11,INR,-6869.11,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 6869.11,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0010,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 6869.11,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
11,MTR-APK-0011,Group,Shared Experience,Trip,Local Transport,Expense,2026-08-08,08:11:52,2026-08-08 08:11:52,19092.57,INR,-19092.57,APK Owner,3,SHARES,MAESTRO-APK-GROUP-TRIP-0011 | Local Transport | 19092.57,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0011,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Local Transport,MAESTRO-APK-GROUP-TRIP-0011 | Local Transport | 19092.57,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
