Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-IOS-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-01-20,05:40:34,2026-01-20 05:40:34,14066.5,INR,-14066.5,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0001,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
2,MTR-IOS-0002,Group,Shared Experience,Trip,Travel,Expense,2026-01-01,17:33:29,2026-01-01 17:33:29,26868.32,INR,-26868.32,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0002,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
3,MTR-IOS-0003,Business,Business,Team Operations,Payroll,Expense,2026-04-19,12:08:42,2026-04-19 12:08:42,57453.63,INR,-57453.63,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0003,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
4,MTR-IOS-0004,Personal,Personal,Life Operations,Rent,Expense,2026-05-25,04:30:57,2026-05-25 04:30:57,2414.9,INR,-2414.9,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 2414.90,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0004,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0004 | Rent | 2414.90,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
5,MTR-IOS-0005,Group,Shared Experience,Trip,Stay,Expense,2026-07-28,08:16:22,2026-07-28 08:16:22,18351.21,INR,-18351.21,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-0005 | Stay | 18351.21,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0005,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Stay,MAESTRO-IOS-GROUP-TRIP-0005 | Stay | 18351.21,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
6,MTR-IOS-0006,Business,Business,Team Operations,Contractor,Expense,2025-09-13,09:54:55,2025-09-13 09:54:55,109737.08,INR,-109737.08,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 109737.08,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0006,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0006 | Contractor | 109737.08,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
7,MTR-IOS-0007,Personal,Personal,Life Operations,Bills,Expense,2026-01-22,02:25:22,2026-01-22 02:25:22,7285.65,INR,-7285.65,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 7285.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0007,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0007 | Bills | 7285.65,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
8,MTR-IOS-0008,Group,Shared Experience,Trip,Food,Expense,2025-11-02,09:34:17,2025-11-02 09:34:17,25422.15,INR,-25422.15,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0008 | Food | 25422.15,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0008,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-IOS-GROUP-TRIP-0008 | Food | 25422.15,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
9,MTR-IOS-0009,Business,Business,Team Operations,Hiring,Expense,2025-11-29,08:26:29,2025-11-29 08:26:29,142974.65,INR,-142974.65,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 142974.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0009,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0009 | Hiring | 142974.65,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
10,MTR-IOS-0010,Personal,Personal,Life Operations,Transport,Expense,2025-11-14,21:54:54,2025-11-14 21:54:54,13838.38,INR,-13838.38,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 13838.38,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0010,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0010 | Transport | 13838.38,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
11,MTR-IOS-0011,Group,Shared Experience,Trip,Local Transport,Expense,2026-06-20,01:17:01,2026-06-20 01:17:01,20814.45,INR,-20814.45,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-TRIP-0011 | Local Transport | 20814.45,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0011,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Local Transport,MAESTRO-IOS-GROUP-TRIP-0011 | Local Transport | 20814.45,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
