Domain,MomentId,Widget,Endpoint,HttpMethod,DtoStatus,ClientWiring,CatalogClassification,BackendMatch,GapType
PERSONAL,P1,Income,POST /v1/moments/:id/income,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Recovery,POST /v1/moments/:id/observations,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Mood,POST /v1/moments/:id/observations,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Attention,POST /v1/moments/:id/attention-captures,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Transfer,POST /v1/moments/:id/movements,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Savings,POST /v1/moments/:id/movements,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Adjust,POST /v1/moments/:id/life-ops-adjustments,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P1,Reflect,NONE,,MISSING,DISABLED,DEFERRED,UI_GAP,DEFERRED
PERSONAL,P2,Expense,POST /v1/moments/:id/expenses,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P2,Milestone,POST /v1/moments/:id/future-items,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P2,Opportunity,POST /v1/moments/:id/future-items,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P2,Pivot,POST /v1/moments/:id/future-items,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P2,Progress,POST /v1/moments/:id/future-items,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P2,Learning,POST /v1/moments/:id/future-items,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P3,Expense,POST /v1/moments/:id/expenses,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P3,Experience,POST /v1/moments/:id/lifestyle-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P3,Wellbeing,POST /v1/moments/:id/lifestyle-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P3,Discovery,POST /v1/moments/:id/lifestyle-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P3,Expression,POST /v1/moments/:id/lifestyle-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P3,Adjust,POST /v1/moments/:id/lifestyle-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P4,Connection,POST /v1/moments/:id/relationship-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
