Method,Path,ContractStatus,ImplStatus,GapType,RegisterGapId
GET,/v1/me,DOCUMENTED,IMPLEMENTED,PASS,SP-001
PATCH,/v1/me,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
DELETE,/v1/me,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
GET,/v1/me/devices,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
GET,/v1/me/consents,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
POST,/v1/me/consents/grant,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
POST,/v1/me/consents/withdraw,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
POST,/v1/me/devices,DOCUMENTED,IMPLEMENTED,PASS,SP-001
DELETE,/v1/me/devices/{deviceId},DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/personal/moments,DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/group/moments,DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/business/moments,DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/companies,DOCUMENTED,IMPLEMENTED,PASS,SP-001
POST,/v1/companies,DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/companies/{companyId}/locations,DOCUMENTED,IMPLEMENTED,PASS,SP-001
POST,/v1/companies/{companyId}/locations,DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/companies/{companyId},DOCUMENTED,IMPLEMENTED,PASS,SP-001
PATCH,/v1/companies/{companyId},DOCUMENTED,IMPLEMENTED,PASS,SP-001
PATCH,/v1/companies/{companyId}/locations/{locationId},DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/companies/{companyId}/teams,DOCUMENTED,IMPLEMENTED,PASS,SP-001
POST,/v1/companies/{companyId}/teams,DOCUMENTED,IMPLEMENTED,PASS,SP-001
GET,/v1/companies/{companyId}/members,IMPLEMENTED_UNDOCUMENTED,IMPLEMENTED,CONTRACT_GAP,SP-001
