Route,Parity,BackendMounted,AuditResult,RegisterGapId
DELETE /v1/me,BOTH,Y,PASS,SP-013
DELETE /v1/me/devices/{},BOTH,Y,PASS,SP-013
DELETE /v1/moments/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
DELETE /v1/moments/{}/expenses/{},BOTH,Y,PASS,SP-013
DELETE /v1/moments/{}/expenses/{}/attachments/{},ANDROID_ONLY,Y,CLIENT_GAP,SP-013
DELETE /v1/moments/{}/income/{},BOTH,Y,PASS,SP-013
DELETE /v1/moments/{}/lifestyle-activities/{},BOTH,Y,PASS,SP-013
GET /v1/analytics/insights,BOTH,Y,PASS,SP-013
GET /v1/analytics/metrics,BOTH,Y,PASS,SP-013
GET /v1/business/moments,BOTH,Y,PASS,SP-013
GET /v1/business/moments/{}/actions,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/activity,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
GET /v1/business/moments/{}/approvals,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/capacity,BOTH,Y,PASS,SP-013
GET /v1/business/moments/{}/expenses,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/finance,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/improvements,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/invoices,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/issues,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/life,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/memories,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/memory,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/mom-deltas,BOTH,Y,PASS,SP-013
GET /v1/business/moments/{}/moments,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
GET /v1/business/moments/{}/progress-snapshot,BOTH,Y,PASS,SP-013
GET /v1/business/moments/{}/pulse,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/revenues,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/roster,BOTH,Y,PASS,SP-013
GET /v1/business/moments/{}/updates,BOTH,N,PASS,SP-013
GET /v1/business/moments/{}/weekly-report,ANDROID_ONLY,Y,CLIENT_GAP,SP-013
GET /v1/business/moments/{}/workload,BOTH,Y,PASS,SP-013
GET /v1/business/setups,BOTH,Y,PASS,SP-013
GET /v1/companies,BOTH,Y,PASS,SP-013
GET /v1/companies/{},BOTH,Y,PASS,SP-013
GET /v1/companies/{}/locations,BOTH,Y,PASS,SP-013
GET /v1/companies/{}/members,BOTH,Y,PASS,SP-013
