Table,Classification,ReferencedInBackend,AuditResult,RegisterGapId
ai.action_proposal,FUTURE,Y,PASS,SP-007
ai.action_proposal_parameter,FUTURE,N,REVIEW,SP-007
ai.ai_insight,FUTURE,Y,PASS,SP-007
ai.context_item,FUTURE,N,REVIEW,SP-007
ai.context_session,FUTURE,N,REVIEW,SP-007
ai.inference_run,FUTURE,N,REVIEW,SP-007
ai.provenance,FUTURE,N,REVIEW,SP-007
ai.recommendation,FUTURE,N,REVIEW,SP-007
analytics.attention_capture,CANONICAL,Y,PASS,SP-007
analytics.attention_item,ORPHAN_CANDIDATE,N,REVIEW,SP-007
analytics.calculation_run,CANONICAL,Y,PASS,SP-007
analytics.client_event,CANONICAL,Y,PASS,SP-007
analytics.client_session,CANONICAL,Y,PASS,SP-007
analytics.deterministic_insight,CANONICAL,Y,PASS,SP-007
analytics.metric_current,CANONICAL,Y,PASS,SP-007
analytics.metric_definition,CANONICAL,Y,PASS,SP-007
analytics.metric_dependency,ORPHAN_CANDIDATE,N,REVIEW,SP-007
analytics.metric_input_definition,ORPHAN_CANDIDATE,N,REVIEW,SP-007
analytics.metric_observation,CANONICAL,Y,PASS,SP-007
analytics.metric_version,CANONICAL,Y,PASS,SP-007
analytics.threshold_definition,ORPHAN_CANDIDATE,N,REVIEW,SP-007
audit.audit_record,CANONICAL,Y,PASS,SP-007
business.activity_log_entry,CANONICAL,Y,PASS,SP-007
business.budget_alert,CANONICAL,Y,PASS,SP-007
business.business_moment_context,CANONICAL,Y,PASS,SP-007
business.business_operations_context,CANONICAL,Y,PASS,SP-007
business.business_review,CANONICAL,Y,PASS,SP-007
business.business_runway_context,CANONICAL,Y,PASS,SP-007
business.business_system_setup,CANONICAL,Y,PASS,SP-007
business.business_update,CANONICAL,Y,PASS,SP-007
business.company,CANONICAL,Y,PASS,SP-007
business.company_invite,CANONICAL,Y,PASS,SP-007
business.company_invite_claim,CANONICAL,Y,PASS,SP-007
business.company_location,CANONICAL,Y,PASS,SP-007
business.company_membership,CANONICAL,Y,PASS,SP-007
business.decision,CANONICAL,Y,PASS,SP-007
business.events_operations_context,ORPHAN_CANDIDATE,N,REVIEW,SP-007
business.investor_update,CANONICAL,Y,PASS,SP-007
business.issue,CANONICAL,Y,PASS,SP-007
business.meeting_record,CANONICAL,Y,PASS,SP-007
business.operational_improvement,CANONICAL,Y,PASS,SP-007
business.recognition,CANONICAL,Y,PASS,SP-007
business.retrospective,CANONICAL,Y,PASS,SP-007
business.risk,CANONICAL,Y,PASS,SP-007
business.share_link,CANONICAL,Y,PASS,SP-007
business.sla_check,CANONICAL,Y,PASS,SP-007
business.sla_definition,CANONICAL,Y,PASS,SP-007
business.team,CANONICAL,Y,PASS,SP-007
