Method,Path,NormalizedRoute,InRouter,AndroidApi,iOSApi,AndroidRepoCalls,iOSRepoCalls,ClientStatus,ParentGap
GET,/v1/me,GET /v1/me,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MeRepository.kt,,PARTIAL_REPO,SP-013
PATCH,/v1/me,PATCH /v1/me,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/AccountRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/me/devices,GET /v1/me/devices,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/AccountRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/me/consents,GET /v1/me/consents,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/AccountRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/me/consents/grant,POST /v1/me/consents/grant,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/AccountRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/me/consents/withdraw,POST /v1/me/consents/withdraw,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/AccountRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/me/devices,POST /v1/me/devices,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments,GET /v1/personal/moments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MeRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments,GET /v1/group/moments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MeRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments,GET /v1/business/moments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MeRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/companies,GET /v1/companies,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MeRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/companies,POST /v1/companies,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/companies/{companyId}/locations,GET /v1/companies/{}/locations,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/companies/{companyId}/locations,POST /v1/companies/{}/locations,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/companies/{companyId},GET /v1/companies/{},True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/companies/{companyId},PATCH /v1/companies/{},True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/companies/{companyId}/locations/{locationId},PATCH /v1/companies/{}/locations/{},True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/companies/{companyId}/teams,GET /v1/companies/{}/teams,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/companies/{companyId}/teams,POST /v1/companies/{}/teams,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/companies/{companyId}/members,GET /v1/companies/{}/members,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/companies/{companyId}/members,POST /v1/companies/{}/members,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/companies/{companyId}/vendors,POST /v1/companies/{}/vendors,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
PATCH,/v1/companies/{companyId}/vendors/{vendorId},PATCH /v1/companies/{}/vendors/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/companies/{companyId}/vendors/{vendorId}/contracts,POST /v1/companies/{}/vendors/{}/contracts,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/companies/{companyId}/vendors/{vendorId}/sla-definitions,POST /v1/companies/{}/vendors/{}/sla-definitions,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/companies/{companyId}/sla-definitions/{slaDefinitionId}/checks,POST /v1/companies/{}/sla-definitions/{}/checks,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/issues,POST /v1/moments/{}/issues,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/risks,POST /v1/moments/{}/risks,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/improvements,POST /v1/moments/{}/improvements,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/business-updates,POST /v1/moments/{}/business-updates,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/approval-requests,POST /v1/moments/{}/approval-requests,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/tax-obligations,POST /v1/moments/{}/tax-obligations,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/forecast-scenarios,POST /v1/moments/{}/forecast-scenarios,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/investor-updates,POST /v1/moments/{}/investor-updates,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/budget-alerts,POST /v1/moments/{}/budget-alerts,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/business-reviews,POST /v1/moments/{}/business-reviews,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/decisions,POST /v1/moments/{}/decisions,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/meeting-records,POST /v1/moments/{}/meeting-records,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/recognitions,POST /v1/moments/{}/recognitions,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/retrospectives,POST /v1/moments/{}/retrospectives,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/activity-log-entries,POST /v1/moments/{}/activity-log-entries,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/capacity,GET /v1/business/moments/{}/capacity,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/workload,GET /v1/business/moments/{}/workload,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/mom-deltas,GET /v1/business/moments/{}/mom-deltas,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/progress-snapshot,GET /v1/business/moments/{}/progress-snapshot,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/roster,GET /v1/business/moments/{}/roster,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/weekly-report,GET /v1/business/moments/{}/weekly-report,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/issues/{issueId}/evidence,POST /v1/moments/{}/issues/{}/evidence,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/business/moments/{momentId}/share-link,POST /v1/business/moments/{}/share-link,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/setups,GET /v1/business/setups,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/business/setups/{familyCode}/activate,POST /v1/business/setups/{}/activate,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/activity,GET /v1/business/moments/{}/activity,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/moments,GET /v1/business/moments/{}/moments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/companies/{companyId}/vendors,GET /v1/companies/{}/vendors,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/business/moments/{momentId}/memories,POST /v1/business/moments/{}/memories,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/business-expenses,POST /v1/moments/{}/business-expenses,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/revenues,POST /v1/moments/{}/revenues,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/invoices,POST /v1/moments/{}/invoices,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/approvals/{approvalRequestId}/decide,POST /v1/approvals/{}/decide,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments,POST /v1/moments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MomentCreateRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/archive,POST /v1/moments/{}/archive,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MomentLifecycleRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/cancel,POST /v1/moments/{}/cancel,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MomentLifecycleRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/goals,POST /v1/moments/{}/goals,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/milestones,POST /v1/moments/{}/milestones,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/tasks,POST /v1/moments/{}/tasks,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/moments/{momentId}/activity,GET /v1/moments/{}/activity,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/expenses,POST /v1/moments/{}/expenses,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/ExpenseCreateRepository.kt;apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/observations,POST /v1/moments/{}/observations,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/future-items,POST /v1/moments/{}/future-items,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
