Table,Classification,ReferencedInBackend,DriftIssue,ParentGap
analytics.attention_item,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
analytics.metric_dependency,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
analytics.metric_input_definition,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
analytics.threshold_definition,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
business.events_operations_context,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
business.team_membership,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
business.vendor_operations_context,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
collaboration.community_coordination_context,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
collaboration.coordination_item,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
collaboration.shared_goal_context,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
finance.budget_revision,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
finance.expense_split,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
finance.financial_account_preference,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
finance.invoice_payment,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
finance.recurring_financial_instruction,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
memory.learning_evidence,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
memory.playbook_evidence,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
memory.playbook_version,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
work.assignment,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
work.task_dependency,ORPHAN_CANDIDATE,False,ORPHAN_CONFIRMED,SP-007
