family,batch,moment_type,screen_id,screen_name,figma_node,widget_id,widget_name,widget_type,data_behaviour,data_requirement,source_type,api_contract,final_api,canonical,live_route,join_status,notes,closure_theme,implementation_status
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W01,Close Setup,Navigation,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,UI-only / navigation,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W02,Team Name,Text Input,Canonical/derived mapping with unresolved contract detail,Defines team workspace,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W03,Team Size,Selector,Canonical/derived mapping with unresolved contract detail,Team capacity,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.business_system_setup.preferences,POST /v1/moments + businessSetup,WIRED,Feeds team_operations_payload.memberCapacity,CL-25,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W04,Work Mode,Selector,Canonical/derived mapping with unresolved contract detail,Remote/hybrid/office,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W05,Country,Selector,Canonical/derived mapping with unresolved contract detail,Primary region,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.company,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W06,Currency,Selector,Canonical/derived mapping with unresolved contract detail,Default currency,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.company,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W07,Timezone,Selector,Canonical/derived mapping with unresolved contract detail,Timezone,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.company,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W08,Review Cycle,Selector,Canonical/derived mapping with unresolved contract detail,Review cadence,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.business_system_setup.preferences,POST /v1/moments + businessSetup,WIRED,Feeds team_operations_payload.reviewCadence,CL-25,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W09,Monitoring Style,Selector,Canonical/derived mapping with unresolved contract detail,Monitoring approach,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W10,Spending Approval,Selector,Canonical/derived mapping with unresolved contract detail,Approval policy input,CANONICAL,TeamOperations.Configure — HTTP route TBD,POST /v1/governance/approval-requests,governance.governance_policy,POST /v1/moments/:id/approval-requests,WIRED,Approval threshold from prefs,CL-15,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT01,Team Operations Setup,692:34736,B-BT01-W11,Activate Team Operations,CTA,Canonical write,Activates Team Ops moment,CANONICAL,TeamOperations.Activate — HTTP route TBD,POST /v1/moments + businessSetup.TEAM_OPERATIONS,business.business_moment_context,POST /v1/moments + businessSetup,CLIENT_FIX,Shared create command,CL-25,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W01,Company Selector,Selector,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,UI-only / navigation,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W02,Active Moment Module Selector,Selector,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,UI-only / navigation,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W03,Execution Health Score,Derived KPI,Canonical/projection read,Overall team health,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,projection.business_pulse.financial_health_score,GET /v1/business/moments/:id/pulse,WIRED,Repurposed health score for execution,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W04,Execution Health Narrative,Insight,Canonical/projection read,Explains health,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,projection.business_pulse.financial_health_score,GET /v1/business/moments/:id/pulse,WIRED,Client derives narrative from score,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W05,Members Count,KPI,Canonical/projection read,Active members,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,projection.business_pulse.active_moment_count,GET /v1/business/moments/:id/pulse,WIRED,B2 pulse active_moment_count,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W06,Capacity KPI,KPI,Canonical/projection read,Team capacity signal,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,projection.business_pulse.runway_months,GET /v1/business/moments/:id/pulse,WIRED,Repurposed runwayMonths as capacity placeholder,CL-29,REAL_DATA
