moment_family,moment_subtype,mapping_batch,group_moment_type,screen_id,figma_screen,figma_node,widget_id,figma_widget,widget_type,ui_label,field,table_column,supporting_tables,api_read,api_write,api_contract_excel,excel_mapping_status,android_binding,ios_binding,projection,gx2_status,closure_priority,notes
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W001,Life 360,Navigation Action,360,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W002,Moments Shortcut,Navigation Action,Moments,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W003,Profile Avatar,Profile / Account Control,SM,user_id; display_name; email; timezone; locale; status,core.user_profile :: user_id; display_name; email; timezone; locale; status,N/A,GET /v1/me,,GET /v1/me,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,Only profile data is backend-backed; surrounding avatar interaction is local.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W004,Personal Context Tab,Context Selector,Personal,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W005,Group Context Tab,Context Selector,Group,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W006,Business Context Tab,Context Selector,Business,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W007,Circle Context Tab,Context Selector,Circle,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W008,Close,CTA / Action Control,Close,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W009,Group Mode Badge,Status / Context Display,Group Mode,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W010,Setup Hero,Hero / Context Display,Set up Shared Experience,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W011,Experience Setup Profile Switcher,Context Selector,Trip / Wedding / Party / Office,N/A,N/A :: N/A,N/A,,,,STATIC,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W012,Experience Type,Selector / Status Control,Trip,shared_experience_context.experience_kind; group_family; status | core.moment.moment_type_id; domain_code,collaboration.shared_experience_context + core.moment :: shared_experience_context.experience_kind; group_family; status | core.moment.moment_type_id; domain_code,core.moment_type,,POST /v1/moments or PATCH /v1/moments/:momentId,POST /v1/moments or PATCH /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W013,Experience Name,Text Input / Display,Experience name,title,core.moment :: title,N/A,,POST /v1/moments or PATCH /v1/moments/:momentId,POST /v1/moments or PATCH /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W014,Destination,Text Input / Display,Destination,moment_id; destination_text,collaboration.shared_experience_context :: moment_id; destination_text,N/A,,POST /v1/moments or PATCH /v1/moments/:momentId,POST /v1/moments or PATCH /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W015,Dates,Date / Time Control,Dates,core.moment.start_at; core.moment.end_at | shared_experience_context.start_at; shared_experience_context.end_at,core.moment + collaboration.shared_experience_context :: core.moment.start_at; core.moment.end_at | shared_experience_context.start_at; shared_experience_context.end_at,N/A,,POST /v1/moments or PATCH /v1/moments/:momentId,POST /v1/moments or PATCH /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
