family,domain,screen_id,screen_name,screen_figma_node,widget_id,widget_name,widget_figma_node,parent_section,widget_type,data_behaviour,data_classification,api_command,http_method,live_route,join_status,notes
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W001,Runtime Entry Count,1012:12898,Intelligence OS Header,Dynamic Badge,Read / derived,PROJECTION_READ,Personal Runtime Summary,GET,LIVE_READ_FAMILY,WIRED,Live read + client consume
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W002,Financials Setup Tab,1012:12957,Setup Category Tabs,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W003,Wellbeing Setup Tab,1012:12960,Setup Category Tabs,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W004,Routine Setup Tab,1012:12963,Setup Category Tabs,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W005,Personal Setup Tab,1012:12966,Setup Category Tabs,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W006,Close Setup,1012:12940,Setup Navigation,CTA / Navigation,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W007,Life Focus,1012:12999,Your Foundation,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W008,Current Pressure,1012:13006,Your Foundation,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W009,Primary Need,1012:13013,Your Foundation,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W010,Health & Energy Priority,1012:13023,Your Priorities,Selector / State,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W011,Time & Balance Priority,1012:13030,Your Priorities,Selector / State,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W012,Life Focus Editable Value,1012:13046,What Shapes Your Days,Editable Input,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W013,Current Rhythm,1012:13053,What Shapes Your Days,Editable Input,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
